"Lon","Lat","resid","t","a","min_wts_name","WSCSSDA"
-75.3667,48.1167,1298,"Clova","North Central","Saint-Maurice","02NA"
-73.2064,47.7522,1329,"Reservoir Blanc","North Central","Saint-Maurice","02NC"
-73.7787,47.9165,1775,"Weymontachie","North Central","Saint-Maurice","02NC"
-72.7843,47.4402,1190,"La Tuque","North Central","Saint-Maurice","02NE"
-72.7833,47.4333,1215,"Langelier","North Central","Saint-Maurice","02NE"
-72.6868,47.5109,1177,"La Bostonnais","North Central","Saint-Maurice","02NE"
-73.8148,46.5588,1595,"St Zenon","North Central","Saint-Maurice","02NF"
-73.9199,46.678,1531,"St Michel Des Saints","North Central","Saint-Maurice","02NF"
-74.0972,46.6094,1451,"St Guillaume Nord","North Central","Saint-Maurice","02NF"
-72.7237,46.6881,1141,"Grandes Piles","North Central","Saint-Maurice","02NG"
-72.6306,46.611,1195,"Lac A La Tortue","North Central","Saint-Maurice","02NG"
-72.8289,46.5056,1389,"St Boniface De Shawinigan","North Central","Saint-Maurice","02NG"
-72.922,46.5728,1522,"St Mathieu Du Lac Bellemare","North Central","Saint-Maurice","02NG"
-72.7693,46.8095,1564,"St Roch De Mekinac","North Central","Saint-Maurice","02NG"
-72.661,46.6223,1442,"St Georges De Champlain","North Central","Saint-Maurice","02NG"
-72.7525,46.5266,1740,"Shawinigan Sud","North Central","Saint-Maurice","02NG"
-72.765,46.5433,1015,"Baie De Shawinigan","North Central","Saint-Maurice","02NG"
-72.6926,46.9189,1040,"Boucher","North Central","Saint-Maurice","02NG"
-72.6897,46.6156,1138,"Grand Mere","North Central","Saint-Maurice","02NG"
-72.7434,46.553,1351,"Shawinigan","North Central","Saint-Maurice","02NG"
-72.8136,46.6033,1446,"St Gerard Des Laurentides","North Central","Saint-Maurice","02NG"
-72.7409,46.6913,1477,"St Jean Des Piles","North Central","Saint-Maurice","02NG"
-73.483,45.7208,1064,"Charlemagne","North Central","L'Assomption","02OB"
-73.428,45.8211,1174,"L''Assomption","North Central","L'Assomption","02OB"
-73.4214,46.0537,1292,"Notre Dame Des Prairies","North Central","L'Assomption","02OB"
-73.6113,45.9329,1363,"St Alexis De Montcalm","North Central","L'Assomption","02OB"
-73.7744,46.2703,1404,"St Come","North Central","L'Assomption","02OB"
-74.2247,46.319,1417,"St Donat De Montcalm","North Central","L'Assomption","02OB"
-73.535,46.2283,1476,"St Jean De Matha","North Central","L'Assomption","02OB"
-73.5715,46.0082,1503,"St Liguori","North Central","L'Assomption","02OB"
-73.5888,45.8567,1563,"St Roch De L''Achigan","North Central","L'Assomption","02OB"
-73.3543,46.0139,1581,"St Thomas De Joliette","North Central","L'Assomption","02OB"
-73.5145,46.1346,1657,"Ste Melanie","North Central","L'Assomption","02OB"
-73.4802,45.8459,1176,"L''Epiphanie","North Central","L'Assomption","02OB"
-73.4696,45.7514,1747,"Le Gardeur","North Central","L'Assomption","02OB"
-74.0594,46.2259,1282,"Notre Dame De La Merci","North Central","L'Assomption","02OB"
-73.6936,46.1869,1366,"St Alphonse Rodriguez","North Central","L'Assomption","02OB"
-73.552,46.0784,1368,"St Ambroise De Kildare","North Central","L'Assomption","02OB"
-73.4627,46.0485,1398,"St Charles Borromee","North Central","L'Assomption","02OB"
-73.663,45.9005,1426,"St Esprit","North Central","L'Assomption","02OB"
-73.92,46.17,1069,"Chertsey","North Central","L'Assomption","02OB"
-73.4204,46.0992,1284,"Notre Dame De Lourdes De Joliette","North Central","L'Assomption","02OB"
-73.1201,46.1883,1382,"St Barthelemy","North Central","L'Assomption","02OB"
-73.2246,46.1485,1406,"St Cuthbert","North Central","L'Assomption","02OB"
-73.4319,45.8945,1447,"St Gerard Majella","North Central","L'Assomption","02OB"
-73.6213,46.1936,1618,"Ste Beatrix","North Central","L'Assomption","02OB"
-73.7108,45.9614,1645,"Ste Julienne","North Central","L'Assomption","02OB"
-73.5702,45.9483,1464,"St Jacques","North Central","L'Assomption","02OB"
-73.7569,45.8772,1504,"St Lin","North Central","L'Assomption","02OB"
-73.3164,46.1686,1535,"St Norbert","North Central","L'Assomption","02OB"
-73.447,45.9826,1540,"St Paul","North Central","L'Assomption","02OB"
-73.7667,45.85,1776,"Laurentides","North Central","L'Assomption","02OB"
-73.3522,46.0952,1631,"Ste Elisabeth","North Central","L'Assomption","02OB"
-73.5983,46.1168,1650,"Ste Marcelline De Kildare","North Central","L'Assomption","02OB"
-73.4964,45.9312,1654,"Ste Marie Salomee","North Central","L'Assomption","02OB"
-74.0036,46.113,1117,"Entrelacs","North Central","L'Assomption","02OB"
-73.4386,46.0249,1164,"Joliette","North Central","L'Assomption","02OB"
-73.7132,46.0479,1326,"Rawdon","North Central","L'Assomption","02OB"
-73.4726,45.9632,1343,"Crabtree","North Central","L'Assomption","02OB"
-73.8487,45.9534,1392,"St Calixte","North Central","L'Assomption","02OB"
-73.4252,46.1702,1435,"St Felix De Valois","North Central","L'Assomption","02OB"
-73.47,46.02,1548,"St Pierre De Joliette","North Central","L'Assomption","02OB"
-73.6434,46.3223,1633,"Ste Emelie De L''Energie","North Central","L'Assomption","02OB"
-73.4094,46.2276,1780,"St Cleophas De Brandon","North Central","L'Assomption","02OB"
-74.0275,45.9319,1456,"St Hippolyte","North Central","L'Assomption","02OB"
-73.8959,45.818,1668,"Ste Sophie De Terrebonne","North Central","L'Assomption","02OB"
-73.1452,46.3302,1421,"St Edouard De Maskinonge","North Central","Loup","02OC"
-73.3782,46.2925,1440,"St Gabriel De Brandon","North Central","Loup","02OC"
-73.0873,46.2536,1493,"St Justin","North Central","Loup","02OC"
-72.9352,46.3135,1499,"St Leon Le Grand De Maskinonge","North Central","Loup","02OC"
-73.0224,46.4239,1544,"St Paulin","North Central","Loup","02OC"
-73.0339,46.2868,1673,"Ste Ursule","North Central","Loup","02OC"
-73.3541,46.3583,1400,"St Charles De Mandeville","North Central","Loup","02OC"
-73.4779,46.3295,1410,"St Damien","North Central","Loup","02OC"
-73.2832,46.3262,1414,"St Didace","North Central","Loup","02OC"
-72.9593,46.4915,1422,"St Elie","North Central","Loup","02OC"
-72.9246,46.4399,1063,"Charette","North Central","Loup","02OC"
-72.9441,46.2621,1236,"Louiseville","North Central","Loup","02OC"
-73.1456,46.4576,1364,"St Alexis Des Monts","North Central","Loup","02OC"
-72.8805,46.3946,1381,"St Barnabe Nord","North Central","Loup","02OC"
-73.0596,46.3619,1604,"Ste Angele De Premont","North Central","Loup","02OC"
-72.8282,46.2922,1607,"Yamachiche","North Central","Loup","02OC"
-72.5701,46.325,1771,"Trois Rivieres Ouest","North Central","Loup","02OC"
-72.6836,46.2948,1314,"Pointe Du Lac","North Central","Loup","02OC"
-72.7727,46.4395,1429,"St Etienne Des Gres","North Central","Loup","02OC"
-73.0184,46.2289,1487,"Maskinonge","North Central","Loup","02OC"
-72.8992,46.3466,1571,"St Severe","North Central","Loup","02OC"
-72.1831,46.9898,737,"Riviere A Pierre","North Central","Batiscan","02PA"
-72.5939,46.425,1507,"St Louis De France","North Central","Batiscan","02PA"
-72.5,46.67,1572,"St Severin De Proulxville","North Central","Batiscan","02PA"
-72.6182,46.6776,1585,"Herouxville","North Central","Batiscan","02PA"
-72.5066,46.8154,1670,"Ste Thecle","North Central","Batiscan","02PA"
-72.5316,46.469,1525,"St Maurice","North Central","Batiscan","02PA"
-72.4299,46.7328,1355,"St Adelphe","North Central","Batiscan","02PA"
-72.3785,46.6255,1575,"St Stanislas De Champlain","North Central","Batiscan","02PA"
-72.5593,46.7349,1586,"St Tite","North Central","Batiscan","02PA"
-72.4191,46.496,1510,"St Luc De Vincennes","North Central","Batiscan","02PA"
-72.4693,46.5643,1532,"St Narcisse","North Central","Batiscan","02PA"
-72.3398,46.5324,1636,"Ste Genevieve De Batiscan","North Central","Batiscan","02PA"
-72.33,46.87,825,"Notre Dame De Montauban","North Central","Batiscan","02PA"
-72.3882,46.867,747,"Lac Aux Sables","North Central","Batiscan","02PA"
-72.2758,47.6581,890,"Lac Edouard","North Central","Batiscan","02PA"
-71.8328,46.8916,746,"St Raymond","North Central","Sainte-Anne","02PB"
-72.0797,46.718,753,"St Alban","North Central","Sainte-Anne","02PB"
-71.907,46.8901,757,"St Leonard De Portneuf","North Central","Sainte-Anne","02PB"
-72.1615,46.7087,759,"St Thuribe","North Central","Sainte-Anne","02PB"
-72.1424,46.6585,755,"St Casimir","North Central","Sainte-Anne","02PB"
-72.2937,46.6168,1555,"St Prosper De Champlain","North Central","Sainte-Anne","02PB"
-72.2676,46.7637,745,"St Ubalde","North Central","Sainte-Anne","02PB"
-71.9696,46.8154,760,"Ste Christine D''Auvergne","North Central","Sainte-Anne","02PB"
-71.4568,46.7437,726,"St Augustin De Desmaures","North Central","Jacque-Cartier","02PC"
-71.6959,46.7558,752,"Pont Rouge","North Central","Jacque-Cartier","02PC"
-71.8228,46.7555,754,"St Basile De Portneuf","North Central","Jacque-Cartier","02PC"
-71.6207,46.8514,245,"Ste Catherine De La Jacques Cartier","North Central","Jacque-Cartier","02PC"
-71.8855,46.6942,750,"Portneuf","North Central","Jacque-Cartier","02PC"
-72.2014,46.5776,1609,"Ste Anne De La Perade","North Central","Jacque-Cartier","02PC"
-71.9927,46.7178,756,"St Gilbert","North Central","Jacque-Cartier","02PC"
-72.0489,46.6819,758,"St Marc Des Carrieres","North Central","Jacque-Cartier","02PC"
-71.4673,46.9355,892,"St Gabriel De Valcartier","North Central","Jacque-Cartier","02PC"
-71.2678,46.8595,720,"Charlesbourg","North Central","Montmorency","02PD"
-71.3097,46.7705,723,"Ste Foy","North Central","Montmorency","02PD"
-71.3598,46.7995,718,"Ancienne Lorette","North Central","Montmorency","02PD"
-71.341,46.7495,722,"Cap Rouge","North Central","Montmorency","02PD"
-71.3856,46.9091,725,"Lac St Charles","North Central","Montmorency","02PD"
-71.4316,46.8431,728,"Val Belair","North Central","Montmorency","02PD"
-71.3376,46.8708,732,"St Emile","North Central","Montmorency","02PD"
-71.3693,46.9877,724,"Stoneham Et Tewkesbury","North Central","Montmorency","02PD"
-71.2636,46.8168,729,"Vanier","North Central","Montmorency","02PD"
-71.3616,46.8505,733,"Loretteville","North Central","Montmorency","02PD"
-71.2995,46.9422,891,"Lac Beauport","North Central","Montmorency","02PD"
-71.2095,46.9693,707,"Ste Brigitte De Laval","North Central","Montmorency","02PD"
-70.847,47.0585,706,"St Joachim","North Central","Gouffre","02PE"
-71.0233,46.9703,708,"Chateau Richer","North Central","Gouffre","02PE"
-70.7738,47.1426,709,"St Tite Des Caps","North Central","Gouffre","02PE"
-70.8612,47.1163,704,"St Ferreol Les Neiges","North Central","Gouffre","02PE"
-70.3803,47.6644,91,"Notre Dame Des Monts","North Central","Gouffre","02PE"
-70.3978,47.5732,179,"St Hilarion","North Central","Gouffre","02PE"
-70.2901,47.6383,240,"Ste Agnes","North Central","Gouffre","02PE"
-70.508,47.441,14,"Baie St Paul","North Central","Gouffre","02PE"
-70.3638,47.4598,193,"St Joseph De La Rive","North Central","Gouffre","02PE"
-70.5401,47.557,237,"St Urbain De Charlevoix","North Central","Gouffre","02PE"
-70.305,47.6814,124,"St Aime Des Lacs","North Central","Malbaie","02PF"
-69.8814,47.8481,230,"St Simeon","North Central","Malbaie","02PF"
-69.993,47.7375,250,"St Fidele De Mont Murray","North Central","Malbaie","02PF"
-70.2253,47.6925,29,"Clermont","North Central","Malbaie","02PF"
-72.052,48.768,97,"Peribonka","Saguenay","Mistassini","02RC"
-71.8576,48.7432,264,"Ste Monique Du Lac St Jean","Saguenay","Mistassini","02RC"
-71.8246,48.6604,178,"St Henri De Taillon","Saguenay","Mistassini","02RC"
-71.8192,48.8962,203,"St Ludger De Milot","Saguenay","Mistassini","02RC"
-71.9589,48.8069,136,"St Augustin Du Lac St Jean","Saguenay","Mistassini","02RC"
-72.0606,48.9696,247,"Ste Elisabeth De Proulx","Saguenay","Mistassini","02RC"
-72.0849,48.8637,258,"Ste Jeanne D''Arc Du Lac St Jean","Saguenay","Mistassini","02RC"
-71.2573,49.8949,28,"Chute Des Passes","Saguenay","Mistassini","02RC"
-72.4488,48.8901,2,"Albanel","Saguenay","Mistassini","02RD"
-72.2291,48.871,35,"Dolbeau","Saguenay","Mistassini","02RD"
-72.2033,48.8884,83,"Mistassini","Saguenay","Mistassini","02RD"
-72.4157,48.7235,263,"St Methode","Saguenay","Mistassini","02RD"
-72.6734,48.9049,235,"St Thomas Didyme","Saguenay","Mistassini","02RD"
-72.356,49.0768,90,"Notre Dame De Lorette","Saguenay","Mistassini","02RD"
-72.5563,48.904,152,"St Edmond","Saguenay","Mistassini","02RD"
-72.5432,48.8417,88,"Normandin","Saguenay","Mistassini","02RD"
-72.2882,48.9789,158,"St Eugene Du Lac St Jean","Saguenay","Mistassini","02RD"
-72.1774,49.0074,232,"St Stanislas Du Lac St Jean","Saguenay","Mistassini","02RD"
-72.5467,49.0035,43,"Girardville","Saguenay","Mistassini","02RE"
-72.6543,48.7097,67,"La Dore","Saguenay","Mistassini","02RF"
-72.4543,48.6399,163,"St Felicien","Saguenay","Mistassini","02RF"
-72.2399,48.5167,119,"Roberval","Saguenay","Lac Saint-Jean","02RG"
-72.1717,48.266,65,"Lac Bouchette","Saguenay","Lac Saint-Jean","02RG"
-71.8729,48.4234,192,"Metabetchouan","Saguenay","Lac Saint-Jean","02RG"
-72.3648,48.4788,254,"Ste Hedwidge","Saguenay","Lac Saint-Jean","02RG"
-72.1352,48.325,166,"St Francois De Sales","Saguenay","Lac Saint-Jean","02RG"
-71.774,48.4923,173,"St Gedeon","Saguenay","Lac Saint-Jean","02RG"
-72.3414,48.5897,227,"St Prime","Saguenay","Lac Saint-Jean","02RG"
-72.2378,48.5719,102,"Mashteuiatsh","Saguenay","Lac Saint-Jean","02RG"
-72.1648,48.4387,279,"Val Jalbert","Saguenay","Lac Saint-Jean","02RG"
-71.9466,48.415,34,"Desbiens","Saguenay","Lac Saint-Jean","02RG"
