ind,mother,father,generation
409153,295170,295169,0
443151,442562,442561,0
408477,861890,861889,0
408790,863184,863183,0
409098,716486,716485,0
409266,296124,296123,0
409032,294708,294707,0
409434,297722,297721,0
408769,714750,714749,0
409282,296175,296174,0
409100,864339,864338,0
408388,711160,711159,0
408475,861931,861930,0
408926,715602,715601,0
408992,863840,863839,0
409031,294728,294727,0
409111,294946,294945,0
409422,297227,297226,0
409437,409391,298063,0
408480,862021,862020,0
408728,714600,714599,0
408920,863489,863488,0
409084,716517,716516,0
409086,864283,864282,0
409215,863190,863189,0
409349,866698,866697,0
419335,137607,137606,0
443155,288241,288240,0
443157,811566,811565,0
443167,442797,442796,0
217891,217894,217893,0
219947,219950,219949,0
288764,288767,288766,0
302717,220063,220062,0
408366,710887,710886,0
408372,860774,860773,0
408394,711217,711216,0
408396,711184,711183,0
408691,714452,714451,0
408758,714709,714708,0
408828,863411,863410,0
408868,715308,715307,0
408911,715411,715410,0
409033,863985,863984,0
409054,716201,716200,0
409091,716472,716471,0
409095,716574,716573,0
409103,716602,716601,0
409124,864369,864368,0
409147,295137,295136,0
409154,864400,864399,0
409259,865368,865367,0
416130,415971,415970,0
416150,828613,828612,0
416915,416743,416742,0
416925,416398,416397,0
416965,828854,828853,0
417179,130262,130261,0
417882,136971,136970,0
417890,136010,136009,0
419329,137784,137783,0
419332,137767,137766,0
430101,145718,145717,0
430148,144591,144590,0
443152,442684,442683,0
443159,442721,442720,0
443165,442747,442746,0
444292,443327,443326,0
454422,454425,454424,0
218089,218092,218091,0
408062,859068,859067,0
408319,860094,860093,0
408364,710806,710805,0
408393,711227,711226,0
408427,711428,711427,0
409041,716156,716155,0
409082,864213,864212,0
409092,294854,294853,0
409263,296154,296153,0
409288,296361,296360,0
416118,471425,471424,0
416124,415941,415940,0
416134,415583,415582,0
416140,828535,828534,0
416163,828747,828746,0
416829,416286,416285,0
416852,828828,828827,0
416861,828871,828870,0
416955,416288,416287,0
416961,828840,828839,0
417018,128780,128779,0
417148,131263,131262,0
417170,129401,129400,0
417181,130236,130235,0
417184,130698,130697,0
417662,135865,135864,0
417663,134347,134346,0
430056,144799,144798,0
430152,144692,144691,0
443149,442609,442608,0
443154,442639,442638,0
443161,442711,442710,0
443163,442780,442779,0
443169,442538,442537,0
444295,443709,443708,0
453612,453615,453614,0
676521,676514,676513,0
717537,717540,717539,0
717634,717637,717636,0
718567,718570,718569,0
802424,802426,802425,0
868387,868390,868389,0
868572,868575,868574,0
417164,129452,129451,0
288708,288711,288710,0
302710,217923,217922,0
302718,218224,218223,0
408917,863538,863537,0
408923,863554,863553,0
408937,712249,712248,0
408950,715765,715764,0
409682,717394,717393,0
409808,868739,868738,0
416162,828733,828732,0
416899,129022,129021,0
416973,828875,828874,0
417168,130094,130093,0
417187,129345,129344,0
444293,443272,443271,0
717709,717712,717711,0
302716,717617,717616,0
302711,718099,718098,0
408375,860834,860833,0
408426,861314,861313,0
409687,717552,717551,0
416144,828574,828573,0
416147,828589,828588,0
417169,130833,130832,0
417234,132942,132941,0
677273,868830,868829,0
295170,295174,295173,1
442562,442586,442585,1
861890,861894,861893,1
863184,863186,863185,1
716486,716490,716489,1
296124,296126,296125,1
294708,294712,294711,1
297722,297726,297725,1
714750,714754,714753,1
296175,296179,296178,1
864339,864341,864340,1
711160,711165,711164,1
861931,861935,861934,1
715602,715606,715605,1
863840,863844,863843,1
294728,294582,294581,1
294946,715359,715358,1
297227,715290,715289,1
409391,866810,866809,1
862021,862025,862024,1
714600,714604,714603,1
863489,863493,863492,1
716517,716522,716521,1
864283,864287,864286,1
863190,863197,863196,1
866698,714721,714720,1
137607,137628,137627,1
288241,288247,288246,1
811566,811572,811571,1
442797,442805,442804,1
217894,217900,217899,1
219950,63806,63805,1
288767,75256,75255,1
220063,16096,16095,1
710887,710892,710891,1
860774,860778,860777,1
711217,711221,711220,1
711184,711186,711185,1
714452,802403,802402,1
714709,714713,714712,1
863411,863415,863414,1
715308,259435,259434,1
715411,283201,283200,1
863985,863989,863988,1
716201,459967,459966,1
716472,716476,716475,1
716574,716578,716577,1
716602,716606,716605,1
864369,864373,864372,1
295137,295141,295140,1
864400,864428,864427,1
865368,294843,294842,1
415971,660468,660467,1
828613,828619,828618,1
416743,416751,416750,1
416398,861211,861210,1
828854,462548,462547,1
130262,130268,130267,1
136971,136981,136980,1
136010,136040,136039,1
137784,137814,137813,1
137767,137769,137768,1
145718,145730,145729,1
144591,806511,806510,1
442684,442698,442697,1
442721,442737,442736,1
442747,442763,442762,1
443327,443344,443343,1
454425,454429,454428,1
218092,218098,218097,1
859068,859072,859071,1
860094,860098,860097,1
710806,710810,710809,1
711227,711231,711230,1
711428,711432,711431,1
716156,716161,716160,1
864213,864217,864216,1
294854,294858,294857,1
296154,862629,862628,1
296361,296365,296364,1
471425,469361,469360,1
415941,415947,415946,1
415583,212135,212134,1
828535,828546,828545,1
828747,828749,828748,1
416286,410292,410291,1
828828,828829,472019,1
828871,220596,220595,1
416288,416292,416291,1
828840,828848,828847,1
128780,17954,17953,1
131263,752119,752118,1
129401,129427,129426,1
130236,130256,130255,1
130698,130720,130719,1
135865,135887,135886,1
134347,134379,134378,1
144799,144827,144826,1
144692,144715,144714,1
442609,442629,442628,1
442639,442662,442661,1
442711,442713,420591,1
442780,442793,442792,1
442538,442542,442541,1
443709,443711,443710,1
453615,68593,68592,1
676514,676518,676517,1
717540,717546,717545,1
717637,717641,717640,1
718570,105243,105242,1
802426,802430,802429,1
868390,868396,868395,1
868575,868581,868580,1
129452,129465,129464,1
288711,288717,288716,1
217923,217927,217926,1
218224,218228,218227,1
863538,863542,863541,1
863554,863558,863557,1
712249,712257,712256,1
715765,715769,715768,1
717394,664470,664469,1
868739,868745,868744,1
828733,828743,828742,1
129022,129052,129051,1
828875,828893,828892,1
130094,130114,130113,1
129345,129358,129357,1
443272,443274,443273,1
717712,717718,717717,1
717617,717621,717620,1
718099,406338,406285,1
860834,860838,860837,1
861314,861318,861317,1
717552,717556,717555,1
828574,828578,828577,1
828589,828599,828598,1
130833,130887,130886,1
132942,132993,132992,1
868830,868834,868833,1
295169,295172,295171,1
442561,442564,442563,1
861889,861892,861891,1
863183,861866,861865,1
716485,716488,716487,1
296123,295655,295654,1
294707,294710,294709,1
297721,297724,297723,1
714749,714752,714751,1
296174,296177,296176,1
864338,863343,863342,1
711159,711163,711162,1
861930,861933,861932,1
715601,715604,715603,1
863839,863842,863841,1
294727,294730,294729,1
294945,711715,711714,1
297226,297229,297228,1
298063,716127,716126,1
862020,862023,862022,1
714599,714602,714601,1
863488,863491,863490,1
716516,716519,716518,1
864282,864285,864284,1
863189,863194,863193,1
866697,866700,866699,1
137606,137609,137608,1
288240,288245,288244,1
811565,811568,811567,1
442796,442799,442798,1
217893,217898,217897,1
219949,64025,64024,1
288766,21661,21660,1
220062,220065,220064,1
710886,710889,710888,1
860773,860776,860775,1
711216,711219,711218,1
711183,860871,860870,1
714451,714454,714453,1
714708,714711,714710,1
863410,863413,863412,1
715307,715306,715305,1
715410,715413,715412,1
863984,863987,863986,1
716200,716203,716202,1
716471,716474,716473,1
716573,716576,716575,1
716601,716604,716603,1
864368,864371,864370,1
295136,295139,295138,1
864399,295182,295181,1
865367,865370,865369,1
415970,469347,469348,1
828612,828615,828614,1
416742,416745,416744,1
416397,416400,416399,1
828853,116239,116238,1
130261,130264,130263,1
136970,136973,136972,1
136009,136012,136011,1
137783,137786,137785,1
137766,100149,100148,1
145717,145720,145719,1
144590,144593,144592,1
442683,442686,442685,1
442720,442723,442722,1
442746,442749,442748,1
443326,443329,443328,1
454424,454427,454426,1
218091,218096,218095,1
859067,859070,859069,1
860093,860096,860095,1
710805,710808,710807,1
711226,711229,711228,1
711427,711430,711429,1
716155,716158,716157,1
864212,864215,864214,1
294853,294856,294855,1
296153,296156,296155,1
296360,296363,296362,1
471424,471427,471426,1
415940,415943,415942,1
415582,665099,665098,1
828534,828537,828536,1
828746,127945,127944,1
416285,415963,415962,1
828827,471313,471312,1
828870,17542,17541,1
416287,416290,416289,1
828839,828842,828841,1
128779,128782,128781,1
131262,131265,131264,1
129400,129403,129402,1
130235,130238,130237,1
130697,130700,130699,1
135864,135867,135866,1
134346,134349,134348,1
144798,144801,144800,1
144691,144694,144693,1
442608,442611,442610,1
442638,442641,442640,1
442710,433391,433390,1
442779,442782,442781,1
442537,442540,442539,1
443708,427965,427964,1
453614,106814,106813,1
676513,676516,676515,1
717539,717544,717543,1
717636,717639,717638,1
718569,63150,63149,1
802425,802428,802427,1
868389,868394,868393,1
868574,868579,868578,1
129451,129454,129453,1
288710,288715,288714,1
217922,217925,217924,1
218223,218226,218225,1
863537,863540,863539,1
863553,863556,863555,1
712248,712255,712254,1
715764,715767,715766,1
717393,717396,717395,1
868738,868741,868740,1
828732,828735,828734,1
129021,129024,129023,1
828874,828877,828876,1
130093,130096,130095,1
129344,129347,129346,1
443271,142673,142672,1
717711,717716,717715,1
717616,717619,717618,1
718098,718101,718100,1
860833,860836,860835,1
861313,861316,861315,1
717551,717554,717553,1
828573,828576,828575,1
828588,828591,828590,1
130832,130835,130834,1
132941,132944,132943,1
868829,868832,868831,1
863186,0,0,2
136981,0,0,2
861894,0,0,2
717641,410046,410045,2
295172,423600,423599,2
863194,674029,674028,2
294710,294716,294715,2
295174,409140,409139,2
